dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601271805,,10x10000x5,10,10000,2665.8,61.21568426473725,2753.8191220283506,72.36183845996912
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601271945,,10x10000x5,10,10000,2074.0,56.10347582815168,2843.4669729471207,178.29987209956633
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601272226,,10x10000x5,10,10000,2074.0,56.10347582815168,4539.258205580712,16.51156410397621
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601282237,,10x10000x5,10,10000,2054.6,56.9389146366525,2488.8825996637343,23.141018156600794
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601291141,,10x10000x5,10,10000,2054.6,56.9389146366525,4247.038712382317,73.90487255038958
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h100_ks40_202603250052,,10x10000x5,10,10000,2054.6,56.9389146366525,4281.396224188805,20.645153630869352
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h100_ks40_202603261532,,10x10000x5,10,10000,2054.6,56.9389146366525,4069.3208582639695,56.92351016720537
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h128_ks40_202603220013,,10x10000x5,10,10000,2068.1,46.321593236847974,4122.511011958122,19.49505738905695
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h128_ks50_202603220014,,10x10000x5,10,10000,2063.3,59.30101179575269,4129.726395177841,14.951441230157933
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h20_ks9_202603231522,,10x10000x5,10,10000,2187.5,58.303087396809445,3054.312496328354,28.36464905822067
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h256_ks113_202603230044,,10x10000x5,10,10000,2093.9,37.72651587411697,6804.757741475105,16.822680961805773
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h44_ks20_202603231522,,10x10000x5,10,10000,2097.4,77.13650238376121,3059.3800044059753,35.32494027408947
