path,entry_type,category,dataset,method,T,alpha,param,created,has_final_results,file_count,total_bytes,notes
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_lr10.01_lr20.004_h100_ks40_202603262012,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603262012,True,12,2017606,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262209,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps4.24e-05,202603262209,True,12,2017617,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262321,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps4.24e-05,202603262321,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps4.24e-05,202603301915,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_lr10.01_lr20.004_202601291248,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps4.24e-05,202601291248,True,12,2017578,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_lr10.01_lr20.004_h100_ks40_202603262013,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps4.24e-05,202603262013,True,12,2017608,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T10000_lr10.01_lr20.004_h128_ks50_202603241606,online_run_dir,tuning,Collab,FastPRB,10000,0.85,eps4.24e-06,202603241606,True,12,4033607,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T10000_lr10.01_lr20.004_h256_ks113_202603241607,online_run_dir,tuning,Collab,FastPRB,10000,0.85,eps4.24e-06,202603241607,True,12,4033608,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T10000_lr10.01_lr20.004_h80_ks30_202603241606,online_run_dir,tuning,Collab,FastPRB,10000,0.85,eps4.24e-06,202603241606,True,12,4033606,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T10000_lr10.01_lr20.004_h80_ks30_202603241607,online_run_dir,tuning,Collab,FastPRB,10000,0.85,eps4.24e-06,202603241607,True,12,4033606,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603270208,online_run_dir,tuning,Collab,FastPRB,5000,0.85,eps4.24e-06,202603270208,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603280035,online_run_dir,tuning,Collab,FastPRB,5000,0.85,eps4.24e-06,202603280035,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_k10_lr10.01_lr20.004_h100_ks40_202603310116,online_run_dir,tuning,Collab,FastPRB,5000,0.85,eps4.24e-06,202603310116,True,12,2017616,
